order,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,saleprice,houseage,remodage,totalsf,totalbath,hasgarage,hasbasement,hasfireplace
1,526301100,20,RL,141.0,31770,Pave,NoFeature,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,3,3,CBlock,3,4,Gd,BLQ,639.0,Unf,0.0,441.0,1080.0,GasA,2,Y,SBrkr,1656,0,0,1656,1.0,0.0,1,0,3,1,3,7,Typ,2,4,Attchd,1960.0,Fin,2.0,528.0,3,3,P,210,62,0,0,0,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,215000,50,50,2736.0,2.0,1,1,1
2,526350040,20,RH,80.0,11622,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,NoMasVnr,0.0,3,3,CBlock,3,3,No,Rec,468.0,LwQ,144.0,270.0,882.0,GasA,3,Y,SBrkr,896,0,0,896,0.0,0.0,1,0,2,1,3,5,Typ,0,0,Attchd,1961.0,Unf,1.0,730.0,3,3,Y,140,0,0,0,120,0,0,MnPrv,NoFeature,0,6,2010,WD,Normal,105000,49,49,1778.0,1.0,1,1,0
3,526351010,20,RL,81.0,14267,Pave,NoFeature,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,3,3,CBlock,3,3,No,ALQ,923.0,Unf,0.0,406.0,1329.0,GasA,3,Y,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,4,6,Typ,0,0,Attchd,1958.0,Unf,1.0,312.0,3,3,Y,393,36,0,0,0,0,0,NoFeature,Gar2,12500,6,2010,WD,Normal,172000,52,52,2658.0,1.5,1,1,0
4,526353030,20,RL,93.0,11160,Pave,NoFeature,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,NoMasVnr,0.0,4,3,CBlock,3,3,No,ALQ,1065.0,Unf,0.0,1045.0,2110.0,GasA,5,Y,SBrkr,2110,0,0,2110,1.0,0.0,2,1,3,1,5,8,Typ,2,3,Attchd,1968.0,Fin,2.0,522.0,3,3,Y,0,0,0,0,0,0,0,NoFeature,NoFeature,0,4,2010,WD,Normal,244000,42,42,4220.0,3.5,1,1,1
5,527105010,60,RL,74.0,13830,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,NoMasVnr,0.0,3,3,PConc,4,3,No,GLQ,791.0,Unf,0.0,137.0,928.0,GasA,4,Y,SBrkr,928,701,0,1629,0.0,0.0,2,1,3,1,3,6,Typ,1,3,Attchd,1997.0,Fin,2.0,482.0,3,3,Y,212,34,0,0,0,0,0,MnPrv,NoFeature,0,3,2010,WD,Normal,189900,13,12,2557.0,2.5,1,1,1
6,527105030,60,RL,78.0,9978,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,3,3,PConc,3,3,No,GLQ,602.0,Unf,0.0,324.0,926.0,GasA,5,Y,SBrkr,926,678,0,1604,0.0,0.0,2,1,3,1,4,7,Typ,1,4,Attchd,1998.0,Fin,2.0,470.0,3,3,Y,360,36,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,195500,12,12,2530.0,2.5,1,1,1
7,527127150,120,RL,41.0,4920,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,NoMasVnr,0.0,4,3,PConc,4,3,Mn,GLQ,616.0,Unf,0.0,722.0,1338.0,GasA,5,Y,SBrkr,1338,0,0,1338,1.0,0.0,2,0,2,1,4,6,Typ,0,0,Attchd,2001.0,Fin,2.0,582.0,3,3,Y,0,0,170,0,0,0,0,NoFeature,NoFeature,0,4,2010,WD,Normal,213500,9,9,2676.0,3.0,1,1,0
8,527145080,120,RL,43.0,5005,Pave,NoFeature,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,NoMasVnr,0.0,4,3,PConc,4,3,No,ALQ,263.0,Unf,0.0,1017.0,1280.0,GasA,5,Y,SBrkr,1280,0,0,1280,0.0,0.0,2,0,2,1,4,5,Typ,0,0,Attchd,1992.0,RFn,2.0,506.0,3,3,Y,0,82,0,0,144,0,0,NoFeature,NoFeature,0,1,2010,WD,Normal,191500,18,18,2560.0,2.0,1,1,0
9,527146030,120,RL,39.0,5389,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,NoMasVnr,0.0,4,3,PConc,4,3,No,GLQ,1180.0,Unf,0.0,415.0,1595.0,GasA,5,Y,SBrkr,1616,0,0,1616,1.0,0.0,2,0,2,1,4,5,Typ,1,3,Attchd,1995.0,RFn,2.0,608.0,3,3,Y,237,152,0,0,0,0,0,NoFeature,NoFeature,0,3,2010,WD,Normal,236500,15,14,3211.0,3.0,1,1,1
10,527162130,60,RL,60.0,7500,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,NoMasVnr,0.0,3,3,PConc,3,3,No,Unf,0.0,Unf,0.0,994.0,994.0,GasA,4,Y,SBrkr,1028,776,0,1804,0.0,0.0,2,1,3,1,4,7,Typ,1,3,Attchd,1999.0,Fin,2.0,442.0,3,3,Y,140,60,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,189000,11,11,2798.0,2.5,1,1,1
