feature,importance
overall_qual,0.22417912
totalsf,0.109238364
kitchen_qual,0.05322105
bsmt_qual,0.039187197
garage_cars,0.02925233
houseage,0.028764933
totalbath,0.028641108
kitchen_abvgr,0.024478674
garage_cond,0.019030036
central_air_Y,0.017424613
exter_qual,0.016756257
electrical_FuseF,0.014897171
ms_zoning_RM,0.012145944
fireplace_qu,0.010294686
gr_liv_area,0.009894613
ms_zoning_RL,0.008054412
remodage,0.00790704
fireplaces,0.007856368
year_built,0.007572328
ms_subclass_90,0.0075095333
bsmt_full_bath,0.0074861073
land_slope_Sev,0.0074508674
year_remod_add,0.007178555
paved_drive_Y,0.006514233
neighborhood_Gilbert,0.006505104
ms_subclass_30,0.006108481
neighborhood_Crawfor,0.0053495523
neighborhood_OldTown,0.005316899
garage_area,0.0052826027
bsmt_exposure_Gd,0.0051960223
neighborhood_NAmes,0.00503115
hasbasement,0.005017351
ms_subclass_60,0.0046341936
screen_porch,0.0044821333
bsmtfin_sf_1,0.004328511
overall_cond,0.004322371
lot_area,0.0042585167
total_bsmt_sf,0.0042267647
roof_style_Gable,0.0040100273
foundation_PConc,0.0039963615
garage_qual,0.003940591
bsmt_exposure_No,0.003675911
garage_yr_blt,0.0035533486
house_style_2Story,0.0035451779
neighborhood_CollgCr,0.003527876
sale_type_New,0.0033184695
exterior_1st_BrkFace,0.0032840632
full_bath,0.0032473179
paved_drive_P,0.0031985105
bsmtfin_type_1_GLQ,0.00317513
sale_condition_Partial,0.0029709206
1st_flr_sf,0.002932215
bsmt_exposure_NoFeature,0.0028382484
sale_condition_Normal,0.0028358712
land_contour_HLS,0.0028269163
2nd_flr_sf,0.0028224578
neighborhood_Somerst,0.0027920157
mas_vnr_area,0.0027034953
mas_vnr_type_NoMasVnr,0.002677993
functional_Typ,0.0026644974
garage_type_Attchd,0.0026325309
bsmt_unf_sf,0.0026206872
land_contour_Low,0.0026156947
neighborhood_StoneBr,0.0025408436
lot_config_FR2,0.0024383152
lot_shape_Reg,0.0024152799
neighborhood_GrnHill,0.002340757
heating_qc,0.0023397633
land_slope_Mod,0.0023245018
land_contour_Lvl,0.0022535382
garage_type_Detchd,0.0021958132
fence_MnPrv,0.0021885382
exterior_1st_VinylSd,0.0021695232
half_bath,0.0021595727
sale_type_WD,0.002150155
wood_deck_sf,0.0021424757
condition_2_PosN,0.0021393923
ms_zoning_FV,0.0021360265
exterior_2nd_HdBoard,0.0021338577
neighborhood_Blueste,0.002104395
neighborhood_SWISU,0.001911041
ms_subclass_80,0.001863888
lot_frontage,0.0018516032
condition_1_Norm,0.0018446997
neighborhood_Edwards,0.0018340424
exter_cond,0.0017801073
lot_config_FR3,0.0017712
exterior_1st_PreCast,0.0017510712
roof_style_Hip,0.0017400967
functional_Min1,0.001718657
sale_condition_Family,0.001703925
garage_type_CarPort,0.0017033982
lot_config_CulDSac,0.0016369132
open_porch_sf,0.0016184316
bsmt_cond,0.0016166533
exterior_1st_CemntBd,0.0015809227
ms_subclass_160,0.0015785996
totrms_abvgrd,0.0015637286
garage_type_Basment,0.0015445483
bsmtfin_sf_2,0.0015044187
pool_qc,0.0014842395
ms_subclass_70,0.001477994
bsmtfin_type_2_Unf,0.0014676319
pid,0.001463592
neighborhood_NridgHt,0.0014451691
condition_1_RRNn,0.0014011092
bedroom_abvgr,0.001394497
mas_vnr_type_Stone,0.0013469062
yr_sold,0.001318281
bsmtfin_type_1_Unf,0.0012864608
mas_vnr_type_BrkFace,0.0012748069
roof_matl_Tar&Grv,0.0012511412
ms_subclass_50,0.0012439104
bsmtfin_type_1_BLQ,0.0012346044
condition_1_Feedr,0.0012185547
condition_1_PosA,0.0012070185
sale_condition_Alloca,0.0011712918
bsmtfin_type_2_LwQ,0.0011477866
neighborhood_NoRidge,0.0011211532
condition_1_PosN,0.0010980306
mo_sold,0.0010721902
alley_NoFeature,0.0010601801
roof_style_Mansard,0.001045049
ms_zoning_C (all),0.0010269015
exterior_2nd_ImStucc,0.0010211631
foundation_Slab,0.0010016793
exterior_2nd_CmentBd,0.0009997842
fence_NoFeature,0.0009727636
pool_area,0.00097106653
lot_config_Inside,0.0009583136
enclosed_porch,0.0009578301
alley_Pave,0.00095117145
house_style_1Story,0.00094829407
neighborhood_SawyerW,0.000935235
neighborhood_ClearCr,0.00093352137
garage_finish_RFn,0.0009158811
neighborhood_Mitchel,0.000915522
neighborhood_Veenker,0.0008876383
condition_2_Norm,0.00088081777
sale_type_Oth,0.00087107497
exterior_1st_MetalSd,0.0008529504
neighborhood_BrkSide,0.0008527697
house_style_2.5Unf,0.0008447582
functional_Mod,0.00083431276
garage_finish_Unf,0.0008005968
ms_subclass_85,0.000789912
exterior_2nd_VinylSd,0.0007859491
sale_condition_AdjLand,0.0007853793
bldg_type_2fmCon,0.0007826762
mas_vnr_type_NoFeature,0.0007710956
street_Pave,0.0007706601
lot_shape_IR2,0.00075602415
sale_type_ConLI,0.000731619
exterior_1st_WdShing,0.0007036732
order,0.0007016207
exterior_2nd_Wd Shng,0.0006884023
lot_shape_IR3,0.00068160833
bsmt_half_bath,0.0006753406
bsmt_exposure_Mn,0.0006581195
electrical_SBrkr,0.00062901614
neighborhood_NWAmes,0.00060903514
roof_matl_WdShngl,0.000607385
3ssn_porch,0.0006033636
exterior_1st_HdBoard,0.0005974495
functional_Sev,0.0005898185
bldg_type_Duplex,0.00057942956
bldg_type_TwnhsE,0.00057935884
ms_subclass_190,0.00057774544
ms_zoning_RH,0.0005664599
bsmtfin_type_1_LwQ,0.0005615845
bsmtfin_type_2_BLQ,0.0005574892
exterior_2nd_BrkFace,0.0005531124
neighborhood_Timber,0.0005223522
exterior_1st_Plywood,0.0004967528
exterior_1st_Wd Sdng,0.00046329296
heating_GasA,0.00044641382
foundation_CBlock,0.00042613514
garage_type_BuiltIn,0.00042008297
bsmtfin_type_2_Rec,0.0004163284
exterior_2nd_Wd Sdng,0.00041302913
fence_GdWo,0.00040474057
bsmtfin_type_1_Rec,0.00039879486
exterior_2nd_Plywood,0.00039253253
house_style_SLvl,0.0003717887
ms_subclass_20,0.00037129206
misc_val,0.0003416754
functional_Min2,0.00030763607
exterior_2nd_MetalSd,0.00020678082
neighborhood_Sawyer,0.00019313282
foundation_Stone,0.00018626172
low_qual_fin_sf,6.9769376e-05
utilities_NoSewr,0.0
garage_type_NoFeature,0.0
neighborhood_Greens,0.0
neighborhood_IDOTRR,0.0
functional_Sal,0.0
roof_matl_WdShake,0.0
garage_finish_NoFeature,0.0
neighborhood_BrDale,0.0
utilities_NoSeWa,0.0
exterior_1st_ImStucc,0.0
ms_zoning_I (all),0.0
sale_type_Con,0.0
exterior_1st_BrkComm,0.0
hasgarage,0.0
sale_type_VWD,0.0
hasfireplace,0.0
ms_subclass_150,0.0
sale_type_ConLw,0.0
ms_subclass_180,0.0
sale_type_ConLD,0.0
sale_type_CWD,0.0
ms_subclass_75,0.0
misc_feature_TenC,0.0
misc_feature_Shed,0.0
misc_feature_Othr,0.0
misc_feature_NoFeature,0.0
exterior_1st_CBlock,0.0
fence_MnWw,0.0
ms_subclass_40,0.0
ms_subclass_45,0.0
functional_Maj2,0.0
neighborhood_NPkVill,0.0
electrical_Mix,0.0
electrical_FuseP,0.0
bldg_type_Twnhs,0.0
mas_vnr_type_CBlock,0.0
house_style_1.5Unf,0.0
exterior_2nd_Stucco,0.0
exterior_2nd_Stone,0.0
exterior_2nd_PreCast,0.0
exterior_2nd_Other,0.0
house_style_2.5Fin,0.0
house_style_SFoyer,0.0
exterior_2nd_CBlock,0.0
exterior_2nd_Brk Cmn,0.0
exterior_2nd_AsphShn,0.0
roof_style_Gambrel,0.0
roof_style_Shed,0.0
exterior_1st_Stucco,0.0
exterior_1st_Stone,0.0
roof_matl_Membran,0.0
condition_2_RRNn,0.0
condition_2_RRAn,0.0
condition_2_PosA,0.0
bsmtfin_type_2_NoFeature,0.0
neighborhood_Landmrk,0.0
neighborhood_MeadowV,0.0
heating_Wall,0.0
heating_OthW,0.0
heating_Grav,0.0
heating_GasW,0.0
roof_matl_Metal,0.0
exterior_1st_AsphShn,0.0
foundation_Wood,0.0
bsmtfin_type_2_GLQ,0.0
bsmtfin_type_1_NoFeature,0.0
condition_1_RRAe,0.0
condition_1_RRAn,0.0
condition_1_RRNe,0.0
roof_matl_Roll,0.0
condition_2_Feedr,0.0
condition_2_RRAe,0.0
